"","Age","Gender","Education","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","VSA","CountryAustralia","CountryCanada","CountryNew Zealand","CountryOther","CountryRepublic of Ireland","CountryUK","CountryUSA","EthnicityAsian","EthnicityBlack","EthnicityMixed-Black/Asian","EthnicityMixed-White/Black","EthnicityNot Provided","EthnicityWhite"
"1",3,0,7,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"2",2,1,10,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"3",3,1,7,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"4",1,0,9,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"5",3,0,10,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"6",6,0,5,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"7",4,1,9,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"8",3,1,1,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"9",3,0,7,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"10",5,1,9,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"11",2,0,8,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"12",4,1,6,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1
